order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
61,j60852,61,Anilios,silvia,-25.46666667,153.05,NA,NA,,147.0,147.00,7.0,7.00,0.048,pointy,2.80,2.92,3.00,3.10,2.39,2.38,1.76,1.71,1.33,1.38,1.96,1.68,1.86,1.66,0.88,0.83,1.72,1.40,1.12,1.13,y,y,,,4.10,,,1,,,,,,,Yes
62,j77029,62,Anilios,silvia,-26.31305556,152.9694444,NA,NA,,148.0,148.00,4.0,4.00,0.027,pointy,3.59,3.46,2.18,2.33,2.49,2.32,1.62,1.70,1.34,1.31,1.92,1.93,1.80,1.90,0.82,0.78,1.08,1.15,1.27,1.35,y,y,,,4.60,,,1,,,,,,,Yes
63,j85945,63,Anilios,silvia,-25.87944444,153.0711111,female,eggs - by palpation,yes,174.0,174.00,4.0,4.50,0.023,pointy,3.42,3.57,2.49,2.32,2.52,2.52,1.81,1.72,1.18,1.46,2.06,2.03,2.16,2.08,0.92,0.89,1.41,1.47,1.41,1.40,y,y,,,4.69,,,1,,,,,,,Yes
64,j76833,64,Anilios,silvia,-26.42444444,153.0255556,NA,NA,,104.0,104.00,3.0,3.00,0.029,pointy,2.72,2.54,1.90,1.89,2.01,2.01,1.45,1.49,0.96,0.85,1.49,1.55,1.33,1.29,0.83,0.80,0.86,0.93,0.92,1.03,y,y,,,4.12,,,1,,,,,,,Yes
65,j82203,65,Anilios,silvia,-26.59194444,152.9763889,NA,NA,,170.0,169.00,4.0,4.00,0.024,pointy,3.95,3.85,2.67,2.97,3.01,3.12,2.02,2.04,1.60,1.42,2.41,2.25,1.86,1.79,1.00,1.00,1.59,1.51,1.45,1.64,y,y,,,4.85,,,1,,,,,,,Yes
66,j27386,66,Anilios,silvia,-25.96666667,153.1166667,male,hemipenes visible,yes,140.0,142.00,6.0,6.00,0.043,pointy,3.93,3.78,3.34,3.33,2.50,2.75,2.09,2.13,1.22,1.40,2.03,1.86,2.03,1.78,1.00,0.89,1.27,1.22,1.35,1.40,y,y,,,4.28,paratype,,,,,,,,,Yes
67,j23620,67,Anilios,silvia,-25.96666667,153.1,NA,NA,,138.0,,4.0,,0.029,pointy,3.05,2.90,2.35,2.33,2.51,2.46,1.92,1.76,1.43,1.43,1.76,1.94,1.78,1.82,0.77,0.92,1.42,1.27,1.46,1.33,y,y,,,4.42,paratype,,,,,,,,,Yes
68,j35872,68,Anilios,silvia,-25.68333333,152.8833333,NA,NA,,157.0,,4.0,,0.025,pointy,2.51,2.64,1.75,1.66,2.41,2.31,1.48,1.54,1.41,1.27,1.75,1.63,1.61,1.63,0.75,0.76,0.99,0.87,1.17,1.25,y,y,,,4.23,paratype,,,,,,,,,Yes
69,j31577,69,Anilios,silvia,-25.18333333,153.2666667,NA,NA,,144.0,145.00,4.5,,0.031,pointy,2.74,2.81,2.31,2.25,2.52,2.46,1.67,1.69,1.50,1.36,1.70,1.77,1.68,1.71,0.79,0.85,1.12,1.08,1.25,1.30,y,y,,,3.60,paratype,,,,,,,,,Yes
70,j46128,70,Anilios,silvia,-26.16666667,152.9166667,NA,NA,,131.0,,7.0,,0.053,pointy,2.67,2.65,2.66,2.52,2.45,2.36,1.75,1.84,1.40,1.23,1.61,1.70,1.64,1.64,0.77,0.84,0.95,1.00,1.53,1.41,y,y,,,3.74,paratype,,,,,,,,,Yes
71,j31576,71,Anilios,silvia,-25.18333333,153.2666667,NA,NA,,145.0,,4.0,,0.028,pointy,3.00,2.96,2.33,2.47,2.48,2.36,1.79,1.74,1.20,1.19,1.71,1.93,1.65,1.76,0.88,0.84,1.18,1.12,1.39,1.26,y,y,,,4.29,paratype,,,,,,,,,Yes
72,j8521,72,Anilios,silvia,-26.63333333,152.9666667,NA,NA,,169.0,170.00,8.5,,0.050,pointy,3.62,3.48,3.18,3.36,2.96,2.90,2.30,2.13,1.19,1.24,2.33,2.31,1.74,1.99,1.07,1.18,1.60,1.68,1.70,1.75,y,y,,,4.88,paratype,,,,,,,,,Yes
73,j31579,73,Anilios,silvia,-24.86666667,153.2666667,NA,NA,,140.0,,4.0,,0.029,pointy,2.53,2.70,2.25,2.25,2.53,2.47,1.77,1.74,1.05,1.15,1.67,1.60,1.70,1.65,0.96,0.99,1.08,1.02,1.40,1.37,y,y,,,3.81,paratype,,,,,,,,,Yes
74,j43785,74,Anilios,silvia,-25.96666667,153.1166667,NA,NA,,71.0,,4.0,,0.056,pointy,1.69,1.89,1.73,1.68,1.69,1.68,1.26,1.20,0.87,0.99,1.26,1.13,1.18,1.17,0.61,0.66,0.76,0.92,0.96,0.92,y,y,,,3.64,paratype,,,,,,,,,Yes
