 ,Label,Area,Mean,Min,Max,Angle,Length
192,ani_lig_R00921.dcm,0.075,3720.744,2943.607,4593.750,-99.982,1.514
193,ani_lig_R00921.dcm,0.071,3576.590,2532.133,4136.767,-91.909,1.433
194,ani_lig_R00921.dcm,0.075,3524.528,2733.483,4325.615,-91.353,1.516
195,ani_lig_R00921.dcm,0.071,3602.357,2498.625,4662.100,-88.580,1.444
196,ani_lig_R00921.dcm,0.082,3735.878,2213.007,5031.848,-90.000,1.659
197,ani_lig_R00921.dcm,0.075,4041.356,2060.354,5160.904,-91.332,1.540
198,ani_lig_R00921.dcm,0.071,3810.253,2168.000,4515.521,-87.614,1.433
199,ani_lig_R00921.dcm,0.077,3444.185,1607.500,4328.012,-79.813,1.552
200,ani_lig_R00921.dcm,0.071,3736.706,2050.000,4532.685,-73.254,1.408
201,ani_lig_R00921.dcm,0.075,3720.397,2028.363,4890.672,-70.017,1.536
202,ani_lig_R00921.dcm,0.073,3656.300,2276.438,4342.950,-66.318,1.485
203,ani_lig_R00921.dcm,0.064,3858.238,2143.000,4666.719,-61.305,1.292
204,ani_lig_R00921.dcm,0.077,4053.248,2138.500,5673.479,-59.112,1.557
205,ani_lig_R00921.dcm,0.080,4378.328,2485.250,5304.147,-49.214,1.607
206,ani_lig_R00921.dcm,0.089,4097.782,2188.438,5087.053,-48.743,1.809
207,ani_lig_R00921.dcm,0.089,4203.244,2509.500,5066.245,-44.731,1.797
208,ani_lig_R00921.dcm,0.080,4204.238,3007.000,5448.000,-33.690,1.635
209,ani_lig_R00921.dcm,0.080,3937.969,2831.329,4745.726,-37.543,1.625
210,ani_lig_R00921.dcm,0.087,4452.106,3269.500,5381.370,-29.890,1.748
211,ani_lig_R00921.dcm,0.093,4281.350,3455.991,5681.101,-26.405,1.905
212,ani_lig_R00921.dcm,0.103,4083.494,1967.500,5758.554,-28.768,2.083
213,ani_lig_R00921.dcm,0.091,4831.993,4178.130,6013.962,-22.906,1.839
214,ani_lig_R00921.dcm,0.089,4813.141,3238.750,5469.215,-17.716,1.804
215,ani_lig_R00921.dcm,0.098,4526.063,3548.250,5747.292,-5.744,2.027
