"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R124835","Anilios","ganei",-23.29,119.47,"point","f","WAM","124835","WAM_R124835",0.02,327,7,-3.65224972109344,-4.50902632543519,-4.2466620609677,-5.00150281053298,-4.71155058954666,-3.84405002184194
"R102111","Anilios","ganei",-21.65,116.317,"point","f","WAM","102111","WAM_R102111",0.02,256,5,-3.90424086498609,-4.45998817614359,-4.05452306803543,-4.85704280574316,-4.43992061309278,-3.93573953204546
"R129571","Anilios","ganei",-23.35,119.57,"point","f","WAM","129571","WAM_R129571",0.03,234,7,-3.87017589549265,-4.42213663201205,-4.0516781159032,-5.10466424374453,-4.618073590824,-3.50941096630239
"R69572","Anilios","hamatus",-22.633,118.1,"point","f","WAM","69572","WAM_R69572",0.022,360,8,-4.01276457522968,-4.11795442786123,-4.3428059215206,-4.98188588081027,-4.6652741100578,-3.80666248977032
"R66323","Anilios","hamatus",-23.2,118.83,"point","m","WAM","66323","WAM_R66323",0.04,250,9,-3.93018697605582,-4.17598855126261,-4.28308668681898,-4.92262441677354,-4.56211069652764,-3.32423634052603
"R77226","Anilios","howi",-14.567,125.849,"point","m","WAM","77226","WAM_R77226",0.031,193,6,-4.0718026241276,-4.25838857970802,-4.60000221582965,-5.30351218342514,-4.95520548915693,-3.47093071967683
"R41456","Anilios","kimberleyensis",-14.53,125.13,"point","f","WAM","41456","WAM_R41456",0.02,288,6,-4.05152456503917,-4.72295322164447,-4.42748900875064,-5.27091839235992,-5.02110659396355,-3.87120101090789
"R134917","Anilios","australis",-31.45,116.273,"point","m","WAM","134917","WAM_R134917",0.05,160,8,-3.49413537732142,-3.79702161273364,-4.07822518034222,-4.79754207863555,-4.45459732750872,-2.99573227355399
"R135228","Anilios","australis",-32.16,121.74,"point","m","WAM","135228","WAM_R135228",0.04,216,8,-3.75193759008107,-3.98648716636569,-4.06424653106482,-4.76009276859393,-4.44705910494474,-3.29583686600433
"R163524","Anilios","vagurima",-17.03,126.65,"","m","WAM","163524","WAM_R163524",,324.5,4,-4.4472844694118,-4.62226461934739,-4.46052969616183,-4.96250570465083,-4.78533690125253,-4.39599117502425
"ZMB18963","Anilios","erycinus",-4.213,143.62,"","","ZMB","18963","ZMB_ZMB18963",,340,10,-3.68067788500052,-4.26869794936688,-3.94339226909579,-4.44265125649032,-4.22854844982826,-3.52636052461616
"SMZ0364","Anilios","broomi",-20.313,146.879,"","f","SMZ","0364","SMZ_SMZ0364",,207,4,-3.90480275745466,-4.35251473564756,-4.38686925914967,-4.93730402101071,-4.76456810288011,-3.94642443214548
