"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R59212","Anilios","bituberculatus",-34.013,138.085,"round to point, no spur","f","SAM","59212","SAM_R59212",0.019,363,7,5.61,3.88,4.1,2.86,1.9,3.37,3.53,2.2,1.76,2.02,6.445,214,12,"yes",370
"R63990","Anilios","bituberculatus",-32.72,137.9,"round to point, no spur","f","SAM","63990","SAM_R63990",0.02,258,5,4.19,2.69,3.04,2.07,1.55,2.68,2.52,1.63,1.21,1.13,5.427,220,12,"yes",263
"R70271","Anilios","bituberculatus",-29.889,133.583,"round to point, no spur","f","SAM","70271","SAM_R70271",0.016,376,6,6.86,3.56,3.86,2.62,2.3,3.1,3.43,2.08,1.77,1.93,6.174,235,13,"yes",382
"R9214","Anilios","bituberculatus",-33.67,135.47,"round to point, no spur","m","SAM","9214","SAM_R9214",0.03,217,6,4.04,3.03,3.06,2.1,1.42,2.44,2.82,1.8,1.46,1.61,5.08,202,13,"yes",223
"R24765","Anilios","bituberculatus",-28.17,140.18,"round to point, no spur","m","SAM","24765","SAM_R24765",0.024,339,8,4.87,2.93,3.48,2.54,2.16,2.86,3.15,1.88,1.69,1.84,5.927,242,14,"yes",347
"R39658","Anilios","bituberculatus",-35.76,139.99,"round to point, no spur","m","SAM","39658","SAM_R39658",0.03,216,6,4.14,3.04,2.95,2.37,2.02,2.58,2.74,1.44,1.5,1.22,5.646,208,13,"yes",222
"R46448","Anilios","bituberculatus",-29.183,136.597,"round to point, no spur","m","SAM","46448","SAM_R46448",0.022,226,5,2.55,1.93,2.57,1.87,1.48,2.06,2.47,1.24,1.16,1.22,5.206,228,13,"yes",231
"R67340","Anilios","bituberculatus",-31.31,134.79,"round to point, no spur","m","SAM","67340","SAM_R67340",0.02,273,6,4.54,2.88,3.29,2.39,2.04,2.68,3.1,1.86,1.51,1.73,,,,"yes",279
"R10174","Anilios","bituberculatus",-33.87,136,"round to point, no spur","u","SAM","10174","SAM_R10174",0.015,267,4,4.16,3.64,3.66,2.67,1.9,2.71,3.43,2.11,1.52,2.18,,,,,271
"R851","Anilios","broomi",-16.92,145.77,"round to point, no spur","u","SAM","851","SAM_R851",0.02,102,2,1.87,1.11,1.04,1.37,0.73,1.69,1.32,0.74,0.85,1.05,,,,,104
"R2175","Anilios","nigrescens",-27.97,153.18,"taper to a point, pointy spur","m","SAM","2175","SAM_R2175",0.054,389,21,6.63,8.14,5.23,3.6,2.89,2.29,4.06,1.96,2.81,2.68,8.968,0,23,"yes",410
"R14158","Anilios","centralis",-23.7,133.87,"tapers to a point, small spur","f","SAM","14158","SAM_R14158",0.02,284,5,2.42,2.75,2.77,2.09,1.72,2.48,2.78,1.39,1.42,1.54,5.427,226,12,"yes",289
"R48409","Anilios","centralis",-28.199,134.707,"tapers to a point, small spur","f","SAM","48409","SAM_R48409",0.028,290,8,4.44,3.66,3.04,2.4,1.61,2.51,3.11,1.46,1.7,1.63,5.509,231,16,"yes",298
"R51254","Anilios","centralis",-27,133.47,"tapers to a point, small spur","f","SAM","51254","SAM_R51254",0.02,245,4,3.39,2.82,2.73,2.1,1.45,2.42,2.82,1.24,1.05,1.48,4.929,248,13,"yes",249
